,clean_text,sentiment
0,when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,negative
1,talk all the nonsense and continue all the drama will vote for modi ,neutral
2,what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,positive
3,asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,positive
4,answer who among these the most powerful world leader today trump putin modi may ,positive
5,kiya tho refresh maarkefir comment karo ,neutral
6,"surat women perform yagna seeks divine grace for narendra modi become again
",neutral
7,this comes from cabinet which has scholars like modi smriti and hema time introspect,neutral
8,with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,positive
9,gandhi was gay does modi  ,positive
10,things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,positive
11,hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,positive
12,calm waters wheres the modi wave ,positive
13,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign ,neutral
14,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,neutral
15,vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party ,negative
16,vote modi who has not created jobs,neutral
17,through our vote ensure govt need and deserve anupam kher responds modis appeal for the 2019 elections ,neutral
18,"dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any
",positive
19,didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,negative
20,was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,positive
21,with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today ,negative
22,crush jaws those who shoutmodimodi says jds mla this inciting murder,neutral
23,sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,negative
24,thiugh nehru not alive but still alive heart modi for every failure nehru responsible ,negative
25,"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india",positive
26,has already taken notice and ordered probe now time for modi take notice muslim family being harassed beaten recently extremist hindus and was suggested leave india move pakistan,neutral
27,was waiting for this modi will also talk about varanasi,neutral
28,according yogi imran masood kin azhar masood according this logic nirav modi lalit modi and narendra modi are brothers from the same mother,neutral
29,agree but only during the tenure modiganga rejuvenation works have started working,neutral
30,the three codes modi cracked give india huge foreign policy jumpstart via ,positive
31,through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections ,neutral
32,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves ",negative
33,being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,positive
34,how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet ,negative
35,only modi ,neutral
36,check out latest article premier archery league via ,positive
37,india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,positive
38,people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote ,negative
39,modi for eternal what wrong dear sirji perfectly fine with indian people,negative
40,impressive godrej tata complimenting our hoping gets second term ,positive
41,our maid saying this rahul keeps saying modi kalla yet goes and hugs him and winks magand idu bekagittu,neutral
42,please vote for modi congress trying divide india,neutral
43,yes good job highly insensitivearrogant incompetent ploar needs defeated any costnobody knows why made such arrogant person minister gave tickethe out touch with grounddespite 3months upsc protests nvr met ,positive
44,before 2014 hindustan has seen the worst for hindus own maj hindu rashtra who thrashed the rascal faces these anti indian politiciansantinationals urban naxals wait watch after modis win pakistan mein bhi hindu hona garv baat hogi✌,positive
45,higher voting turnout directly proportional bjp victory wonder modi has launched campaigns like dont sit home ensure everyone your friends family relatives votes its now never for ,positive
46,"modi govt has done remarkable job making corruption free india ultimate success shall achieved when corrupt are jailed modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app",positive
47,use this beg for campaign ,neutral
48,with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well,positive
49,this the new india modi trying build with these leaders his party why have live with these deplorable characters ,negative
50,"overpromise and underdelivery – that pithy summary the economic outcome the last five years under approach the general election ौीाोै
",positive
51,not just healing touch india need surgery remove the cancer spread modi and rss,neutral
52,farmers’ welfare about 474 farmers get second installment from next month the centre announced the 75000crore scheme ,neutral
53,mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please,negative
54,think you forgot dollar india handled exceptionally well and one the diplomatic shrewdness and achievement why you always undermine modi government you are always prone criticise even without considering other aspects,positive
